STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,eng_pow,Engine power,gear,Fishing gears,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,BE,Belgium,2013,,385,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,BE,Belgium,2014,,385,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,BE,Belgium,2015,,385,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,BE,Belgium,2016,,385,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,BE,Belgium,2017,,385,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2004,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2005,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2006,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2007,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2008,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2009,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2010,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2011,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2012,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2013,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2014,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2015,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2016,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,DE,Germany,2017,,783,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",1990,,203,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",1992,,328,,,,,
dataflow,ESTAT:FISH_FLEET_GP(1.0),Fishing fleet by type of gear and engine power,A,Annual,GT,Gross tonnage (GT),KW1000-1999,From 1 000 to 1 999 kW,DRE,Dredges,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",1993,,601,,,,,
